https://statistik.arbeitsagentur.de/Statistikdaten/Detail/202212/iiia6/beschaeftigung-entgelt-entgelt/entgelt-dwolk-0-202212-xlsx.xlsx?__blob=publicationFile&v=4;;;;
;;;;
krsnr;kreis;medianentgelt;medianentgelt_male;medianentgelt_female
06636;Werra-Meißner-Kreis;3191;3269;2956
07111;Koblenz, kreisfreie Stadt;3813;4042;3503
07131;Ahrweiler;3333;3421;3106
07132;Altenkirchen (Westerwald);3430;3548;3063
07133;Bad Kreuznach;3500;3623;3225
07134;Birkenfeld;3259;3331;3068
07135;Cochem-Zell;3220;3368;2817
07137;Mayen-Koblenz;3405;3485;3168
07138;Neuwied;3496;3635;3151
07140;Rhein-Hunsrück-Kreis;3387;3530;2896
07141;Rhein-Lahn-Kreis;3410;3498;3213
07143;Westerwaldkreis;3375;3499;2978
07211;Trier, kreisfreie Stadt;3538;3658;3358
07231;Bernkastel-Wittlich;3264;3393;2883
07232;Eifelkreis Bitburg-Prüm;3546;3726;3053
07233;Vulkaneifel;3368;3532;2933
07235;Trier-Saarburg;3250;3371;2902
07311;Frankenthal (Pfalz), kreisfreie Stadt;3602;3826;3265
07312;Kaiserslautern, kreisfreie Stadt;3717;3876;3436
07313;Landau in der Pfalz, kreisfreie Stadt;3474;3596;3250
07314;Ludwigshafen am Rhein, kreisfreie Stadt;5002;5422;4042
07315;Mainz, kreisfreie Stadt;4089;4230;3926
07316;Neustadt an der Weinstraße, kreisfreie Stadt;3338;3413;3197
07317;Pirmasens, kreisfreie Stadt;3441;3552;3186
07318;Speyer, kreisfreie Stadt;3611;3722;3475
07319;Worms, kreisfreie Stadt;3452;3572;3191
07320;Zweibrücken, kreisfreie Stadt;3562;3813;2990
07331;Alzey-Worms;3220;3274;3080
07332;Bad Dürkheim;3290;3381;3091
07333;Donnersbergkreis;3632;3773;3259
07334;Germersheim;3865;4004;3359
07335;Kaiserslautern;3285;3343;3112
07336;Kusel;3261;3325;3141
07337;Südliche Weinstraße;3411;3536;3129
07338;Rhein-Pfalz-Kreis;3266;3313;3127
07339;Mainz-Bingen;3860;3935;3741
07340;Südwestpfalz;3031;3146;2701
08111;Stuttgart, Landeshauptstadt;4855;5422;4169
08115;Böblingen;4785;5205;3806
08116;Esslingen;4164;4495;3612
08117;Göppingen;3792;4005;3351
08118;Ludwigsburg;4121;4409;3629
08119;Rems-Murr-Kreis;3845;4063;3441
08121;Heilbronn, Universitätsstadt;3879;4080;3587
08125;Heilbronn;4118;4475;3507
08126;Hohenlohekreis;4000;4232;3497
08127;Schwäbisch Hall;3759;3986;3219
08128;Main-Tauber-Kreis;3629;3803;3144
08135;Heidenheim;3887;4149;3428
08136;Ostalbkreis;4108;4384;3528
08211;Baden-Baden, Stadt;3750;3995;3366
08212;Karlsruhe, Stadt;4215;4514;3828
08215;Karlsruhe;3717;3950;3235
08216;Rastatt;4036;4285;3349
08221;Heidelberg, Stadt;4232;4587;3882
08222;Mannheim, Universitätsstadt;4219;4464;3824
08225;Neckar-Odenwald-Kreis;3541;3708;3087
08226;Rhein-Neckar-Kreis;4031;4257;3644
08231;Pforzheim, Stadt;3672;3903;3342
08235;Calw;3598;3785;3212
08236;Enzkreis;3661;3869;3086
08237;Freudenstadt;3840;4184;3087
08311;Freiburg im Breisgau, Stadt;4033;4254;3774
08315;Breisgau-Hochschwarzwald;3525;3679;3146
08316;Emmendingen;3615;3777;3248
08317;Ortenaukreis;3554;3739;3095
08325;Rottweil;3738;4031;3146
08326;Schwarzwald-Baar-Kreis;3647;3908;3162
08327;Tuttlingen;3861;4161;3245
08335;Konstanz;3688;3917;3364
08336;Lörrach;3784;4021;3380
08337;Waldshut;3532;3726;3128
08415;Reutlingen;3892;4128;3469
08416;Tübingen;3995;4203;3734
08417;Zollernalbkreis;3636;3859;3164
08421;Ulm, Universitätsstadt;4121;4504;3626
08425;Alb-Donau-Kreis;3650;3817;3154
08426;Biberach;4162;4348;3707
08435;Bodenseekreis;4407;4922;3510
08436;Ravensburg;3684;3873;3326
08437;Sigmaringen;3674;3871;3152
09161;Ingolstadt, Stadt;5282;5719;3843
09162;München, Landeshauptstadt;4892;5393;4343
09163;Rosenheim, Stadt;3691;3900;3444
09171;Altötting;4002;4300;3294
09172;Berchtesgadener Land;3351;3558;2885
09173;Bad Tölz-Wolfratshausen;3557;3742;3204
09174;Dachau;3471;3536;3327
09175;Ebersberg;3524;3635;3297
09176;Eichstätt;3596;3779;3169
09177;Erding;3331;3465;3082
09178;Freising;3855;4037;3520
09179;Fürstenfeldbruck;3610;3712;3412
09180;Garmisch-Partenkirchen;3238;3352;3067
09181;Landsberg am Lech;3732;3897;3404
09182;Miesbach;3515;3647;3250
09183;Mühldorf a.Inn;3485;3625;3103
09184;München;4780;5048;4333
09185;Neuburg-Schrobenhausen;3555;3711;3137
09186;Pfaffenhofen a.d.Ilm;3666;3837;3299
09187;Rosenheim;3475;3636;3120
09188;Starnberg;4309;4663;3809
09189;Traunstein;3663;3889;3210
09190;Weilheim-Schongau;3925;4073;3597
09261;Landshut, Stadt;3462;3602;3303
09262;Passau, Stadt;3673;3921;3232
09263;Straubing, Stadt;3413;3559;3152
09271;Deggendorf;3500;3641;3106
09272;Freyung-Grafenau;3201;3351;2783
09273;Kelheim;3471;3618;3111
09274;Landshut;3522;3697;3057
09275;Passau;3142;3316;2671
09276;Regen;3272;3439;2808
09277;Rottal-Inn;3212;3391;2798
09278;Straubing-Bogen;3231;3418;2778
09279;Dingolfing-Landau;4085;4659;3244
09361;Amberg, Stadt;3726;3967;3358
09362;Regensburg, Stadt;4127;4526;3660
09363;Weiden i.d.OPf., Stadt;3232;3305;3110
09371;Amberg-Sulzbach;3518;3645;3118
09372;Cham;3252;3422;2790
09373;Neumarkt i.d.OPf.;3602;3749;3144
09374;Neustadt a.d.Waldnaab;3374;3508;2922
09375;Regensburg;3416;3552;3080
09376;Schwandorf;3371;3574;2900
09377;Tirschenreuth;3266;3408;2733
09461;Bamberg, Stadt;3710;3998;3273
09462;Bayreuth, Stadt;3652;3841;3397
09463;Coburg, Stadt;3926;4092;3535
09464;Hof, Stadt;3116;3189;2984
09471;Bamberg;3185;3281;2855
09472;Bayreuth;3246;3410;2778
09473;Coburg;3040;3171;2687
09474;Forchheim;3558;3741;3106
09475;Hof;3017;3116;2695
09476;Kronach;3083;3211;2687
09477;Kulmbach;3382;3493;3093
09478;Lichtenfels;3088;3237;2758
09479;Wunsiedel i.Fichtelgebirge;3252;3385;2876
09561;Ansbach, Stadt;3667;3899;3328
09562;Erlangen, Stadt;5200;5845;4310
09563;Fürth, Stadt;3565;3760;3322
09564;Nürnberg, Stadt;3865;4082;3552
09565;Schwabach, Stadt;3372;3581;2980
09571;Ansbach;3203;3358;2773
09572;Erlangen-Höchstadt;4425;4644;3906
09573;Fürth;3206;3348;2900
09574;Nürnberger Land;3537;3706;3137
09575;Neustadt a.d.Aisch-Bad Windsheim;3143;3292;2773
09576;Roth;3331;3446;2974
09577;Weißenburg-Gunzenhausen;3432;3565;2963
09661;Aschaffenburg, Stadt;3720;4015;3210
09662;Schweinfurt, Stadt;4274;4471;3519
09663;Würzburg, Stadt;3729;3925;3491
09671;Aschaffenburg;3508;3702;2949
09672;Bad Kissingen;3318;3493;2883
09673;Rhön-Grabfeld;3477;3634;3121
09674;Haßberge;3457;3626;2908
09675;Kitzingen;3478;3638;3036
09676;Miltenberg;3471;3629;3031
09677;Main-Spessart;3832;4029;3244
09678;Schweinfurt;3104;3181;2887
09679;Würzburg;3387;3523;3109
09761;Augsburg, Stadt;3900;4257;3472
09762;Kaufbeuren, Stadt;3505;3719;3178
09763;Kempten (Allgäu), Stadt;3627;3891;3204
09764;Memmingen, Stadt;3689;3911;3207
09771;Aichach-Friedberg;3356;3495;3004
09772;Augsburg;3311;3430;2997
09773;Dillingen a.d.Donau;3557;3705;3128
09774;Günzburg;3420;3541;3068
09775;Neu-Ulm;3776;4036;3218
09776;Lindau (Bodensee);3724;4030;3128
09777;Ostallgäu;3633;3853;3008
09778;Unterallgäu;3719;3919;3071
09779;Donau-Ries;3743;3997;3164
09780;Oberallgäu;3420;3617;2999
10041;Regionalverband Saarbrücken;3756;3952;3483
10042;Merzig-Wadern;3367;3495;3110
10043;Neunkirchen;3473;3636;3125
10044;Saarlouis;3512;3637;3156
10045;Saarpfalz-Kreis;3769;3959;3423
10046;St. Wendel;3478;3608;3166
11000;Berlin, Stadt;3806;3856;3755
12051;Brandenburg an der Havel, Stadt;3281;3256;3309
12052;Cottbus, Stadt;3201;3045;3381
12053;Frankfurt (Oder), Stadt;3102;2957;3268
12054;Potsdam, Stadt;3548;3507;3595
